split,label,model_guess,confidence,line,source_file,line_no
eval,,unclear,0.93,4xA7kp6JLbBO+hDZ5wepdiPUrLyRkEuhWITUiZM2kZXj6Bb72L9STy+2myKiN5x9,kevinguenay_fgt_70g_branch.conf,9288
eval,,unclear,0.93,CgwIRm9ydGluZXQxEjAQBgNVBAsMCUZvcnRpR2F0ZTEZMBcGA1UEAwwQRkcxMDBF,user_contrib_fg100e_fos7213.conf,25815
train,,unclear,0.93,B4AwHQYDVR0OBBYEFIwL6bZjo1VkhGhJLBcalx3qMu/UMB8GA1UdIwQYMBaAFMns,kevinguenay_fgt_vm_hub.conf,10346
eval,,unclear,0.93,<hours>0</hours>,user_contrib_supergate_opn25.xml,4290
train,,unclear,0.93,<hours>*</hours>,user_contrib_supergate_opn25.xml,4316
train,,unclear,0.93,<destinations/>,user_contrib_supergate_opn25.xml,4360
train,,unclear,0.93,<td>Category</td>,user_contrib_fg100e_fos7213.conf,6617
train,,unclear,0.93,<td>%%CATEGORY%%</td>,user_contrib_fg100e_fos7213.conf,6618
train,,unclear,0.93,bPyn7qt8OUYltfeiRUhWKrhKtBWPVOKUg0sOUfvUTdkxnh9m4XE98CyNJDez2/6m,kevinguenay_fgt_70g_branch.conf,8937
train,,unclear,0.93,rd 65000:1,kitchen_sink.txt,20
eval,,unclear,0.93,metric 1,xrdtools_sr_xrd1.cfg,105
train,,unclear,0.93,name NULL2707,canu_csm17_spine001_ipv6_vrf.cfg,107
train,,unclear,0.93,gcneXm11ie7gSNdrpWzDsZA9zc5x1Z2W1orZZpM+srtc/+gYU3+9dlANFKycJvpF,kevinguenay_fgt_70g_branch.conf,9181
train,,unclear,0.93,ip passive-interface eigrp 15,batfish_cisco_interface.txt,108
train,,unclear,0.93,"value ""134217728""",scottlaird-vyos-parser.conf,215
train,,unclear,0.93,set drma-interval 60,user_contrib_fg100e_fos7213.conf,21401
eval,,unclear,0.93,set malformed-header-allow pass,user_contrib_fg100e_fos7213.conf,27829
train,,unclear,0.93,<reverse/>,opnsense_docs_carp_ha_backup.xml,315
train,,unclear,0.93,set block-unknown enable,user_contrib_fg100e_fos7213.conf,27770
train,,unclear,0.93,<filename>emerging-ja3.rules</filename>,user_contrib_supergate_opn25.xml,2660
train,,unclear,0.93,<dstport>500</dstport>,opnsense_docs_carp_ha_backup.xml,325
train,,unclear,0.93,set load-balance-mode source-ip-based,user_contrib_fg100e_fos7213.conf,27960
train,,unclear,0.93,<minutes>0</minutes>,user_contrib_supergate_opn25.xml,4288
train,,unclear,0.93,"edit ""Turkcell-Suit.Conference""",kevinguenay_fgt_70g_branch.conf,6092
train,,unclear,0.93,<body>,user_contrib_fg100e_fos7213.conf,10757
train,,unclear,0.93,</body>,user_contrib_fg100e_fos7213.conf,10789
train,,unclear,0.93,system-mac 02:00:00:00:01:00,canu_csm17_spine001_ipv6_vrf.cfg,216
train,,unclear,0.93,set distance 110,user_contrib_fg100e_fos7213.conf,34507
train,,unclear,0.93,"10.77.128.0/17 le 32,",batfish_ebgp_border01.txt,87
eval,,logging_enabled:true,0.93,logging device-id context-name,batfish_cisco_logging.txt,33
eval,,unclear,0.93,<ip>172.16.100.1</ip>,kitchen_sink.xml,179
eval,,unclear,0.93,"edit ""VK-LDAP""",kevinguenay_fgt_70g_branch.conf,2609
train,,unclear,0.93,"edit ""Qualys-Qualys.Cloud.Platform""",kevinguenay_fgt_70g_branch.conf,6002
train,,unclear,0.93,b3BlbnNzaC1rZXktdjEAAAAACmFlczI1Ni1jdHIAAAAGYmNyeXB0AAAAGAAAABBcpnzogK,user_contrib_fg100e_fos7213.conf,31236
train,,unclear,0.93,"edit ""*.cpl""",user_contrib_fg100e_fos7213.conf,26690
train,,unclear,0.93,subscription CW_TELEMETRY_3,iosxr_design_cst_pa3_xr752.cfg,86
train,,unclear,0.93,Source: https://github.com/opnsense/docs (source/manual/how-tos/resources/Carp_example_backup.xml @ a508f63b08c9688c9aabc94f08c312a4950c1381),opnsense_docs_carp_ha_backup.xml,3
train,,unclear,0.93,description Tenant_A_DB_BZone_1,batfish_labval_dc1_leaf2a_eos4230.txt,233
train,,unclear,0.93,"edit ""Myspace-Web""",kevinguenay_fgt_70g_branch.conf,2780
train,,unclear,0.93,tNZCf4H43ueZxlFFKwG6rlPuNEEwaHXbv6Dr/AbE3EAKDhjBint56TNSMpqPryJT,user_contrib_fg100e_fos7213.conf,25596
eval,,unclear,0.93,set tcp-portrange 111 2049,kevinguenay_fgt_70g_branch.conf,8570
train,,unclear,0.93,RyBiRHBCaHiIUiaMA34OviP4T9bcIBDppEoi0ksNbp+ykq6hGXgIDlp58+HkAk5Nvj+BkI,user_contrib_fg100e_fos7213.conf,31189
eval,,unclear,0.93,set deviceconfig setting management hostname-type-in-syslog FQDN,iron_skillet_panorama_full.conf,59
eval,,unclear,0.93,<tftp/>,opnsense_docs_carp_ha_backup.xml,282
train,,unclear,0.93,set cache-notfound-responses disable,user_contrib_fg100e_fos7213.conf,3837
eval,,unclear,0.93,"set gui-ignore-release-overview-version ""7.6""",kevinguenay_fgt_70g_branch.conf,595
train,,unclear,0.93,description sw-leaf-bmc-001:26==>cn003:1,canu_sw-leaf-bmc-001.cfg,203
train,,unclear,0.93,"edit ""Default_Office_365""",user_contrib_fg100e_fos7213.conf,28013
train,,unclear,0.93,MIIBJDBfBgkqhkiG9w0BBQ0wUjAxBgkqhkiG9w0BBQwwJAQQZp4jYlNGzltdpQ/2,kevinguenay_fgt_70g_branch.conf,9549
train,,unclear,0.93,description Punt Webauth,user_contrib_cat9300_iosxe1712.txt,173
train,,unclear,0.93,Enable AES encryption for stored keys,01-global-hardening.txt,15
eval,,unclear,0.93,NnbjFMNkn3h+BcDlIvPb2PT1rDvavZBw3Y3n8HkzP8+VYcC4S2eP++l8AtMc/3Cu,kevinguenay_fgt_70g_branch.conf,9496
train,,unclear,0.93,set streaming-content-bypass enable,user_contrib_fg100e_fos7213.conf,31314
train,,unclear,0.93,unset switch-controller-service-type,user_contrib_fg100e_fos7213.conf,27084
train,,unclear,0.93,active-gateway ipv6 2001:db8:100::1,canu_csm17_spine001_ipv6_vrf.cfg,206
train,,unclear,0.93,set standalone-config-sync disable,user_contrib_fg100e_fos7213.conf,3809
train,,unclear,0.93,agvs+mi3cIA8jX0ELE5y2Wk0jyahRziAnVS/lVt2CfaydTvcITFxVjWA8kybhI2w,kevinguenay_fgt_vm_hub.conf,10508
train,,unclear,0.93,b3BlbnNzaC1rZXktdjEAAAAACmFlczI1Ni1jdHIAAAAGYmNyeXB0AAAAGAAAABBe77VneM,user_contrib_fg100e_fos7213.conf,31151
train,,unclear,0.93,"set guid ""88C95A36-8C3B-2F2C-1B8B-30FCCFDC4855""",user_contrib_fg100e_fos7213.conf,27459
train,,unclear,0.93,"edit ""VNC-Web""",kevinguenay_fgt_70g_branch.conf,5018
train,,unclear,0.93,V5J48q9s6mvmyJO19s6TZBat+m/jLJRGSai9g5I0Uit7YrNJj3UyptAB6eRueBoo,kevinguenay_fgt_70g_branch.conf,9097
eval,,unclear,0.93,<descr>Set ICMP Limits</descr>,opnsense_docs_carp_ha_backup.xml,138
train,,unclear,0.93,<ip>192.168.11.23</ip>,user_contrib_supergate_opn25.xml,602
train,,unclear,0.93,"set dst-delta=+00:00 dst-end=""jan/01/1970 00:00:00"" dst-start=""jan/01/1970 00:00:00"" time-zone=+00:00",routeros_diff_verbose_export.rsc,425
eval,,unclear,0.93,"edit ""Xero-Web""",kevinguenay_fgt_70g_branch.conf,3242
train,,unclear,0.93,edit 40,kevinguenay_fgt_70g_branch.conf,10481
eval,,unclear,0.93,set uuid 4ddf775e-5ce5-51f0-67af-b6f26b779762,kevinguenay_fgt_70g_branch.conf,8724
train,,unclear,0.93,hw-id 00:0c:29:ab:ce:20,metasploit-vyos-config.conf,11
eval,,unclear,0.93,jFcg/7hnK208Fq3byfQCJpYqO4rMcnZiUNovYp++KBrhdcUxJ5ChoEamJ7dmak++,user_contrib_fg100e_fos7213.conf,25488
train,,unclear,0.93,set protocols bgp graceful-restart,batfish_evpntype5_router1_junos2541.set,134
train,,unclear,0.93,<stop/>,user_contrib_supergate_opn25.xml,3036
train,,unclear,0.93,"edit ""none""",kevinguenay_fgt_70g_branch.conf,8146
train,,unclear,0.93,MIIBJDBfBgkqhkiG9w0BBQ0wUjAxBgkqhkiG9w0BBQwwJAQQkJk/Il7cCoLq//kv,kevinguenay_fgt_vm_hub.conf,10688
train,,unclear,0.93,set cloud-communication enable,user_contrib_fg100e_fos7213.conf,57
train,,unclear,0.93,set sport 4784,kevinguenay_fgt_70g_branch.conf,107
eval,,unclear,0.93,"rx ""8192""",scottlaird-vyos-parser.conf,64
train,,unclear,0.93,bundle id 45 mode active,batfish_ibgp_border01.txt,69
train,,unclear,0.93,"edit ""Rackspace-CDN""",kevinguenay_fgt_70g_branch.conf,5144
train,,unclear,0.93,<tag>20</tag>,user_contrib_supergate_opn25.xml,4496
eval,,unclear,0.93,set mac e8:c8:29:15:57:5c,user_contrib_fg100e_fos7213.conf,22453
eval,,unclear,0.93,set nat46-generate-ipv6-fragment-header disable,user_contrib_fg100e_fos7213.conf,22213
train,,unclear,0.93,"edit ""Microsoft-Office365.Published""",kevinguenay_fgt_70g_branch.conf,1211
eval,,unclear,0.93,set cli-config enable,kevinguenay_fgt_70g_branch.conf,41
train,,unclear,0.93,"edit ""BGP""",kevinguenay_fgt_70g_branch.conf,93
train,,unclear,0.93,"edit ""Sophos-Web""",kevinguenay_fgt_70g_branch.conf,4553
train,,unclear,0.93,RKf0CODWUSeXRnx5TTvWMVyCHCWF9UrIW2tghrxGBDyJymXbUoLDrsbluDSTs7Cc,kevinguenay_fgt_70g_branch.conf,9000
train,,unclear,0.93,"edit ""Microsoft-Azure.Traffic.Manager""",kevinguenay_fgt_70g_branch.conf,5912
train,,unclear,0.93,set uuid 6a99e1ac-72dc-51ef-c7bc-bec3b44e981a,user_contrib_fg100e_fos7213.conf,23307
train,,unclear,0.93,metric,xrdtools_sr_xrd1.cfg,165
train,,unclear,0.93,description pveblade lacp,user_contrib_cat9300_iosxe1712.txt,233
train,,unclear,0.93,member vni 5020,batfish_nxos_evpn_l2vni_nx1.txt,63
eval,,unclear,0.93,"edit ""CrowdStrike-CrowdStrike.Cloud""",user_contrib_fg100e_fos7213.conf,20411
eval,,unclear,0.93,set auto-discovery-sender enable,kevinguenay_fgt_vm_hub.conf,11152
train,,unclear,0.93,"edit ""Yandex-ICMP""",kevinguenay_fgt_70g_branch.conf,4682
train,,unclear,0.93,<filename>emerging-imap.rules</filename>,user_contrib_supergate_opn25.xml,2636
train,,unclear,0.93,set malformed-header-allow discard,user_contrib_fg100e_fos7213.conf,27930
train,,unclear,0.93,set ovrd-auth-https enable,user_contrib_fg100e_fos7213.conf,21241
train,,unclear,0.93,"aaa authentication username-prompt ""Local Username: """,batfish_cisco_aaa.txt,65
train,,unclear,0.93,"edit ""Dell-RTMP""",kevinguenay_fgt_70g_branch.conf,2498
train,,unclear,0.93,<ciphers/>,user_contrib_supergate_opn25.xml,188
train,,unclear,0.93,"edit ""FQDN-IBM-IBM.Cloud""",kevinguenay_fgt_70g_branch.conf,6558
train,,unclear,0.93,set protocols bgp group srx as-override,tsg8139_evpn_leaf_dhcpv6_junos232.set,72
eval,,unclear,0.93,aTSLDTQUDcxOSU2RllB11Ni8wREmXcsVtGyIqrwF7mDMWWvfty3JnAuayfdsnq+k,kevinguenay_fgt_70g_branch.conf,9028
train,,unclear,0.93,hLAzhIQy1K+rZL+tFYsAMD7eJpQ11JMY9NXnqljhAG133ygUZNKafTe10EpepCMO,kevinguenay_fgt_vm_hub.conf,10498
train,,unclear,0.93,10.99.0.0/16 203.0.113.2,kitchen_sink.cfg,84
train,,unclear,0.93,"description High priority, EF",iosxr_design_cst_pa3_xr752.cfg,172
train,,unclear,0.93,start 2001:0db8:abcd:1111::0100 {,pc5-round3b-routera.conf,76
train,,unclear,0.93,"edit ""H_HUB1-O1""",kevinguenay_fgt_70g_branch.conf,8182
train,,unclear,0.93,<apikeys/>,user_contrib_supergate_opn25.xml,84
eval,,unclear,0.93,JFbUacEQGqYfmf5iA7kSd2i2wZFskTEogpbTSnmVRMVlVDK3b3k=,kevinguenay_fgt_vm_hub.conf,10785
train,,unclear,0.93,"edit ""SIP""",kevinguenay_fgt_70g_branch.conf,8677
eval,,unclear,0.93,T9SUcQhr9Dn9u8s7wlG6heYA70sB4pkzeFHLBnHedlRnRnsbliqhIovy8LzwWV6d,kevinguenay_fgt_70g_branch.conf,9115
train,,unclear,0.93,description sw-leaf-bmc-001:24==>cn001:1,canu_sw-leaf-bmc-001.cfg,185
train,,unclear,0.93,active-gateway ip mac 12:00:00:00:6b:00,canu_csm17_spine001_ipv6_vrf.cfg,173
eval,,unclear,0.93,qLzoDOETFXdIjmpBsuHMHeuBJZdC,user_contrib_fg100e_fos7213.conf,25825
train,,unclear,0.93,v4Wi/W2c7Bb9xyuI1sgNG8k0CcIlCusBkKUMUuuzf35a+W2Rszjc/SM3HFzirgx6,kevinguenay_fgt_70g_branch.conf,9237
eval,,unclear,0.93,set uuid 6a7fcfe2-72dc-51ef-a52d-d7539ef6edbf,user_contrib_fg100e_fos7213.conf,22735
eval,,unclear,0.93,<mday>*</mday>,opnsense_docs_carp_ha_backup.xml,539
train,,unclear,0.93,<mday>1</mday>,opnsense_docs_carp_ha_backup.xml,548
eval,,unclear,0.93,"<p><a href=\""%%AUTH_LOGIN%%\"">login with another user</a></p>",user_contrib_fg100e_fos7213.conf,8714
eval,,unclear,0.93,set protocols evpn extended-vni-list all,batfish_evpntype5_router1_junos2541.set,137
train,,unclear,0.93,name USERS,aruba_central_5memberstack_rendered.cfg,138
train,,unclear,0.93,v/Bu6Nx4NU3neOdDm/9XHlH13P6ZP8sFmVr0jacKPjmks0HsbYs/NYFdW1JwURO4,kevinguenay_fgt_vm_hub.conf,10199
train,,unclear,0.93,<ra_priority/>,user_contrib_supergate_opn25.xml,862
train,,unclear,0.93,set uuid 4ddf6caa-5ce5-51f0-3ee7-e3e79c859031,kevinguenay_fgt_70g_branch.conf,8694
train,,unclear,0.93,"edit ""General""",kevinguenay_fgt_70g_branch.conf,8382
train,,unclear,0.93,set last-updated 1775427466,kevinguenay_fgt_70g_branch.conf,9006
eval,,unclear,0.93,set uuid 4ddf7b28-5ce5-51f0-1742-b30f410f3b1e,kevinguenay_fgt_70g_branch.conf,8734
train,,unclear,0.93,! Snapshot: cisco_xr_ios_vpnv4/configs/PE1,batfish_vpnv4_pe1.txt,3
train,,unclear,0.93,<remoteip/>,opnsense_docs_carp_ha_backup.xml,296
train,,unclear,0.93,set speedtest-server disable,user_contrib_fg100e_fos7213.conf,160
train,,unclear,0.93,description Trunk_TO_BMC_SWITCH,azsupport_TOR1_Sample.cfg,288
train,,unclear,0.93,snmp-server user admin auth md5 0xfeed0000fake0000cccc0000dddd0000 priv 0xfeed0000fake0000cccc0000dddd0000 localizedkey engineID 128:0:0:9:3:82:208:168:0:27:1,nautobot_gc_nxos_snmp_spine01_nxos933.txt,121
train,,unclear,0.93,b3+ukIvPVfHS2ubLs+KUD26qCmumZAWbajvcCSSdQLS+eFPcnZAoRPRzAmNvnsOw,kevinguenay_fgt_70g_branch.conf,9362
eval,,unclear,0.93,<macs/>,user_contrib_supergate_opn25.xml,190
train,,unclear,0.93,CBDWrtofW11VA5k/gjLIovPV5GY5KgMDamVXa3ouCab5iNW4FkVZcVzw1QIDAQAB,kevinguenay_fgt_70g_branch.conf,9205
train,,unclear,0.93,description .. Connected to cbr8 port te1/1/0,iosxr_design_cst_pa3_xr752.cfg,543
train,,unclear,0.93,"edit ""7dtd""",user_contrib_fg100e_fos7213.conf,25277
train,,unclear,0.93,set admin-login-max 100,user_contrib_fg100e_fos7213.conf,21
eval,,unclear,0.93,<host>pvenas</host>,user_contrib_supergate_opn25.xml,566
eval,,unclear,0.93,vni 10000900,busterswt_spine_leaf_xk32_1_nxos9312.txt,178
eval,,unclear,0.93,"edit ""yt-scan-4""",kevinguenay_fgt_70g_branch.conf,11139
train,,unclear,0.93,profile g82752_slave_v6,iosxr_design_cst_pa3_xr752.cfg,105
eval,,unclear,0.93,"edit ""medium-priority""",user_contrib_fg100e_fos7213.conf,26262
train,,unclear,0.93,"edit ""Salesforce-Web""",kevinguenay_fgt_70g_branch.conf,1463
train,,unclear,0.93,</hosts>,user_contrib_supergate_opn25.xml,532
train,,unclear,0.93,<hosts>,user_contrib_supergate_opn25.xml,3802
eval,,banner_configured:true,0.93,set pre-login-banner disable,user_contrib_fg100e_fos7213.conf,137
train,,unclear,0.93,bz4Iwe0I7RppEyfE4t2WBfTa74OZkszougFvFJVAXdl3Bmu8ywV4cbmn853aPUOy,kevinguenay_fgt_vm_hub.conf,10311
train,,unclear,0.93,<h1>Scan Unavailable</h1>,user_contrib_fg100e_fos7213.conf,14641
train,,unclear,0.93,w5yryaiac87nFLMLvABylghPh0S5YVlVH5k9RmCSNeCYyGJlJYXqB57zivW2/b+U,kevinguenay_fgt_70g_branch.conf,9025
eval,,unclear,0.93,"edit ""def-cc-dict""",user_contrib_fg100e_fos7213.conf,26556
train,,unclear,0.93,disable-send-community {,pc5-round3b-routerb.conf,43
train,,unclear,0.93,Fw0yNjAzMzAxNTQ3MDBaFw0yODA3MDIxNTQ3MDBaMIGdMQswCQYDVQQGEwJVUzET,kevinguenay_fgt_vm_hub.conf,10765
eval,,unclear,0.93,set ssl-insert-empty-fragment enable,user_contrib_fg100e_fos7213.conf,27682
train,,unclear,0.93,65101:1,batfish_vpnv4_pe1.txt,30
train,,unclear,0.93,MCAwCQYDVR0TBAIwADATBgNVHSUEDDAKBggrBgEFBQcDATAKBggqhkjOPQQDAgNI,kevinguenay_fgt_70g_branch.conf,9537
train,,unclear,0.93,"edit ""Symantec-RTMP""",kevinguenay_fgt_70g_branch.conf,1994
train,,unclear,0.93,use-service-tag=no vlan-id=10,user_contrib_crs310_ros7.rsc,112
eval,,unclear,0.93,b3BlbnNzaC1rZXktdjEAAAAACmFlczI1Ni1jdHIAAAAGYmNyeXB0AAAAGAAAABBt29T4uZ,user_contrib_fg100e_fos7213.conf,31136
train,,unclear,0.93,channel-group 5 mode active,batfish_eos_evpn_vlan_based_leaf.txt,103
train,,unclear,0.93,set uuid 85798bc0-2ecf-51f1-5586-8eabfa91c356,kevinguenay_fgt_vm_hub.conf,13285
train,,unclear,0.93,"set guid ""371C0A40-5A0C-4AD2-A6E5-69C02037FBF3""",user_contrib_fg100e_fos7213.conf,27429
eval,,unclear,0.93,ZXQuY29tMIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAuRgJffPksJ65,kevinguenay_fgt_vm_hub.conf,10250
train,,unclear,0.93,R1ZNU0xUTTI2MDA2MzUxMSMwIQYJKoZIhvcNAQkBFhRzdXBwb3J0QGZvcnRpbmV0,kevinguenay_fgt_vm_hub.conf,10576
train,,unclear,0.93,<subnets/>,user_contrib_supergate_opn25.xml,3402
eval,,unclear,0.93,ip mtu 9198,aoscx_dcn_arch3_ebgp_leaf1a.cfg,59
train,,unclear,0.93,"edit ""suspicious""",kevinguenay_fgt_70g_branch.conf,10204
train,,unclear,0.93,"set script ""get system status""",kevinguenay_fgt_70g_branch.conf,7922
train,,unclear,0.93,<clone/>,user_contrib_supergate_opn25.xml,4566
train,,unclear,0.93,set mac 92:d1:71:ab:6e:7d,user_contrib_fg100e_fos7213.conf,22460
train,,unclear,0.93,"edit ""Bonjour""",user_contrib_fg100e_fos7213.conf,23071
eval,,unclear,0.93,mlag 6,batfish_eos_evpn_vlan_based_leaf.txt,81
train,,unclear,0.93,A1UECgwIRm9ydGluZXQxHjAcBgNVBAsMFUNlcnRpZmljYXRlIEF1dGhvcml0eTEe,user_contrib_fg100e_fos7213.conf,25510
train,,unclear,0.93,hw-id 00:50:56:b6:e6:44,pc5-round3b-routera.conf,15
eval,,unclear,0.93,"<dhcp6 version=""1.0.0"" persisted_at=""1774255875.61"" description=""Kea DHCPv6 configuration"">",user_contrib_supergate_opn25.xml,3410
train,,unclear,0.93,"set ""CLUSTER - PVE5"" disabled=yes",user_contrib_crs310_ros7.rsc,682
train,,unclear,0.93,"set ""CLUSTER - PVE3"" disabled=yes",user_contrib_crs310_ros7.rsc,684
eval,,logging_enabled:true,0.93,config log syslogd3 filter,user_contrib_fg100e_fos7213.conf,21288
eval,,unclear,0.93,"edit ""Zattoo-Zattoo.TV""",kevinguenay_fgt_70g_branch.conf,5624
train,,unclear,0.93,<port>53053</port>,opnsense_core_default.xml,87
eval,,unclear,0.93,sPCFkg1dEmXFdWyjPEeYzwKpW6dDfN+0C9GUZXmXtyE/Kf4tqZ5bUw8jTI+SUn/6,kevinguenay_fgt_70g_branch.conf,9356
train,,unclear,0.93,<host>iPhone</host>,user_contrib_supergate_opn25.xml,536
eval,,unclear,0.93,"edit ""vpnboi""",user_contrib_fg100e_fos7213.conf,27152
train,,unclear,0.93,ruBS9JlnwNIEtFy96v7dG84kW2ay8bfMjS5YMwE4/o/bJ+QYmSQzpCUV2WeN6pEmd3r73F,user_contrib_fg100e_fos7213.conf,31140
eval,,unclear,0.93,"edit ""Skyfii-RTMP""",kevinguenay_fgt_70g_branch.conf,5384
eval,,unclear,0.93,<type>pass</type>,opnsense_acl_test_config.xml,143
eval,,unclear,0.93,set id 4278190103,kevinguenay_fgt_70g_branch.conf,6548
train,,unclear,0.93,<tests>,opnsense_acl_test_config.xml,173
train,,unclear,0.93,</tests>,opnsense_acl_test_config.xml,238
train,,unclear,0.93,set deny-tcp-with-icmp disable,user_contrib_fg100e_fos7213.conf,22238
train,,unclear,0.93,set transform-set IPSEC_XFORM_AES256_SHA1,racc_csr1_iosxe173_umbrella_sig.txt,205
eval,,unclear,0.93,b20wgZ8wDQYJKoZIhvcNAQEBBQADgY0AMIGJAoGBAK5jAlW0DMTr6jDlS1S52TAD,user_contrib_fg100e_fos7213.conf,25633
train,,unclear,0.93,"edit ""Microsoft-Bing.Bot""",kevinguenay_fgt_70g_branch.conf,1196
eval,,unclear,0.93,mX0CV2UO3SzBNW++S1p1eDUnlKJ3PxjZ6G6CuvRgfHtDIvW5q4JShYBr7Wv6/CZJ,kevinguenay_fgt_vm_hub.conf,10615
train,,unclear,0.93,set groups MNHA-SYNC security ipsec proposal IPSEC_PROP-1 lifetime-seconds 3600,jnprautomate_mnha_vsrx_a_junos.set,18
train,,unclear,0.93,"edit ""DigitalOcean-DigitalOcean.Platform""",kevinguenay_fgt_70g_branch.conf,5765
train,,unclear,0.93,"edit ""Imperva-Imperva.Cloud.WAF""",kevinguenay_fgt_70g_branch.conf,5789
eval,,unclear,0.93,description Video,iosxr_design_cst_pa3_xr752.cfg,206
train,,unclear,0.93,"edit ""Zoho-Web""",kevinguenay_fgt_70g_branch.conf,2126
train,,unclear,0.93,MIID4DCCAsigAwIBAgIIYkMAscKuHokwDQYJKoZIhvcNAQELBQAwgZ0xCzAJBgNV,kevinguenay_fgt_vm_hub.conf,10242
train,,unclear,0.93,set accept-source-list '',user_contrib_fg100e_fos7213.conf,34780
train,,unclear,0.93,"edit ""SDWAN-HUBS""",kevinguenay_fgt_70g_branch.conf,9904
eval,,unclear,0.93,"edit ""CNN-RTMP""",kevinguenay_fgt_70g_branch.conf,2771
train,,unclear,0.93,no bridge-group 1 source-learning,batfish_cisco_interface.txt,19
eval,,unclear,0.93,untagged 48-52,hpe_community_2930f_wc1607_intervlan.cfg,25
train,,unclear,0.93,cYxSW0sWvTrLYPPH+jO5pUFthM44TTYXZZ2Gv5JRZEhHtO0o9rVJdWla9heGq/fE,user_contrib_fg100e_fos7213.conf,25715
eval,,unclear,0.93,<filename>emerging-web_specific_apps.rules</filename>,user_contrib_supergate_opn25.xml,2748
eval,,unclear,0.93,<number>10</number>,opnsense_acl_test_config.xml,217
train,,unclear,0.93,"set img-src ""fortinet_logo_small.png""",kevinguenay_fgt_vm_hub.conf,12385
train,,unclear,0.93,"set fortiview-timeframe ""hour""",kevinguenay_fgt_70g_branch.conf,383
train,,unclear,0.93,"<active_interface>opt4,opt5,lan,opt2,opt3,opt1</active_interface>",user_contrib_supergate_opn25.xml,3648
train,,unclear,0.93,Zh794HMBopCCnTa1ruZm/mSf2vPXN6lwiMNu73S0pjB1G5IDbi5fPLryPp6ltp9y,kevinguenay_fgt_vm_hub.conf,10317
train,,unclear,0.93,<widgets>,opnsense_docs_carp_ha_backup.xml,640
train,,unclear,0.93,</widgets>,opnsense_docs_carp_ha_backup.xml,642
eval,,unclear,0.93,d+MVvJwJmIUAKWWHUUQP7UkF8OrOdAnj07JzKkxgEte9qC/yypECEvMoP22dtMzc,user_contrib_fg100e_fos7213.conf,25780
train,,unclear,0.93,lag 2,aoscx_dcn_arch4_core1_1.cfg,95
train,,unclear,0.93,description sw-leaf-bmc-001:13==>cn003:1,canu_sw-leaf-bmc-001.cfg,167
train,,unclear,0.93,YsVuvM/PORfSTgtPIBsUXBzZQ8bEATA7z+JHd6o/o3WfGJ86Y2g+UJAsGChj1eVkXlSm5x,user_contrib_fg100e_fos7213.conf,31156
eval,,unclear,0.93,mapping,kitchen_sink.xml,57
train,,unclear,0.93,set uuid 4ddf00da-5ce5-51f0-d426-79ba9f8cc729,kevinguenay_fgt_70g_branch.conf,8419
eval,,unclear,0.93,<td>The page you requested has been blocked by a ZTNA restriction.</td>,user_contrib_fg100e_fos7213.conf,6464
train,,unclear,0.93,"edit ""Slack-RTMP""",kevinguenay_fgt_70g_branch.conf,4412
eval,,unclear,0.93,"edit ""UUCP""",kevinguenay_fgt_70g_branch.conf,8739
train,,unclear,0.93,set device-holdoff 5,user_contrib_fg100e_fos7213.conf,34179
eval,,unclear,0.93,"description ""server lag""",kitchen_sink.conf,35
train,,unclear,0.93,ud0sOoVQyMjms+JGJ0+Jl/TurcCeloiprtHinKGTagb3YVCC2P4YcDrdCTVSltpZ,kevinguenay_fgt_vm_hub.conf,10112
train,,unclear,0.93,"edit ""TeamViewer-TeamViewer""",kevinguenay_fgt_70g_branch.conf,2243
eval,,logging_enabled:true,0.93,config log syslogd3 setting,user_contrib_fg100e_fos7213.conf,21253
train,,unclear,0.93,"edit ""cml""",user_contrib_fg100e_fos7213.conf,22962
train,,unclear,0.93,"edit ""SDWAN-OUTSIDE""",kevinguenay_fgt_70g_branch.conf,9909
eval,,unclear,0.93,description eBGP_Uplink_to_Core_Switch,azsupport_TOR1_Sample.cfg,338
eval,,unclear,0.93,align-items: baseline;,user_contrib_fg100e_fos7213.conf,3969
train,,unclear,0.93,set protocols bgp group srx peer-as 65001,tsg8139_evpn_leaf_dhcpv6_junos232.set,71
eval,,unclear,0.93,<promisc>0</promisc>,user_contrib_supergate_opn25.xml,2878
eval,,unclear,0.93,set id 4278190102,kevinguenay_fgt_70g_branch.conf,6537
eval,,unclear,0.93,<cache_size/>,user_contrib_supergate_opn25.xml,462
train,,unclear,0.93,set link-down-access enable,user_contrib_fg100e_fos7213.conf,22212
train,,unclear,0.93,"edit ""VK-ICMP""",kevinguenay_fgt_70g_branch.conf,2588
train,,unclear,0.93,"set 0 action=memory disabled=no prefix="""" regex="""" topics=info",user_contrib_crs310_ros7.rsc,659
eval,,unclear,0.93,set switching-protocols bypass,user_contrib_fg100e_fos7213.conf,31315
train,,unclear,0.93,description IDMZ,ios-layer2-layer3-secure-baseline-v1.cfg,199
eval,,unclear,0.93,<subnet_bits>24</subnet_bits>,opnsense_docs_carp_ha_backup.xml,681
train,,unclear,0.93,"edit ""Rapid7-RTMP""",kevinguenay_fgt_70g_branch.conf,4367
train,,unclear,0.93,set switch-options vtep-source-interface lo0.0,batfish_evpntype5_router1_junos2541.set,140
