split,label,model_guess,confidence,line,source_file,line_no,auto
train,unclear,unclear,0.91,<ip>172.16.0.1</ip>,kitchen_sink.xml,165,rule
eval,unclear,unclear,0.91,"edit ""Vimeo-ICMP""",kevinguenay_fgt_70g_branch.conf,2510,rule
train,unclear,unclear,0.91,ZqYvyIAoZh0PbdaNPT0OVVLYSTlUKzg=,kevinguenay_fgt_70g_branch.conf,9214,default
eval,unclear,unclear,0.91,"edit ""LinkedIn-SSH""",kevinguenay_fgt_70g_branch.conf,1595,rule
train,unclear,unclear,0.91,mmi polling-interval 60,batfish_iosxe_basic_vrrp.txt,25,default
eval,unclear,unclear,0.91,description dmz,pc5-round1-border.conf,11,default
eval,unclear,unclear,0.91,pAOCAQYAAoIBAQCvocY8LMAl7f8Q29wkWYdMmuoEgtzBZ1v/PnnttucAbh6mdJHH,user_contrib_fg100e_fos7213.conf,25790,default
eval,unclear,unclear,0.91,<SingleSelect>,opnsense_acl_test_config.xml,226,rule
train,SKIP,unclear,0.91,</SingleSelect>,opnsense_acl_test_config.xml,230,rule
eval,unclear,unclear,0.91,"<rule uuid=""1302fdf2-9012-4487-b4ce-9890c1c39db7"">",user_contrib_supergate_opn25.xml,1940,rule
train,unclear,unclear,0.91,/system resource usb settings,user_contrib_crs310_ros7.rsc,688,default
train,unclear,unclear,0.91,<ssl-ciphers/>,user_contrib_supergate_opn25.xml,148,default
train,unclear,unclear,0.91,ETAPBgNVBAoMCEZvcnRpbmV0MRIwEAYDVQQLDAlGb3J0aUdhdGUxGTAXBgNVBAMM,kevinguenay_fgt_70g_branch.conf,9105,default
train,unclear,unclear,0.91,OzRinFFewnN5ej7PSj5YA8xeFoPVkUPttIQJ5vFwxc2WRls2XtMrlnVJO/O46SJA,kevinguenay_fgt_vm_hub.conf,10318,default
train,unclear,unclear,0.91,"<rule uuid=""0fbdeba1-d2b8-4b63-b937-56a98b86e2f2"">",user_contrib_supergate_opn25.xml,1462,rule
train,unclear,unclear,0.91,set time-zone-name=Asia/Tehran,taqavi_initial_provisioning.rsc,122,default
eval,unclear,unclear,0.91,"edit ""ISLOnline-DNS""",kevinguenay_fgt_70g_branch.conf,5108,rule
train,unclear,unclear,0.91,set uuid ac82b1ea-2c6a-51f1-4639-9af50f7f317f,kevinguenay_fgt_70g_branch.conf,11896,default
eval,unclear,unclear,0.91,"edit ""*.bat""",user_contrib_fg100e_fos7213.conf,26639,rule
eval,unclear,unclear,0.91,edit 22,kevinguenay_fgt_70g_branch.conf,10097,default
eval,unclear,unclear,0.91,"<hosts uuid=""fee483aa-80bb-41b9-a829-b7b85eec1e62"">",user_contrib_supergate_opn25.xml,684,rule
train,unclear,unclear,0.91,set eapol-pre-fail-flood disable,user_contrib_fg100e_fos7213.conf,34306,default
train,unclear,unclear,0.91,set id 4278190094,kevinguenay_fgt_70g_branch.conf,6449,default
train,unclear,unclear,0.91,set graceful-restart enable,kevinguenay_fgt_70g_branch.conf,12253,default
eval,unclear,unclear,0.91,set session-pickup enable,kevinguenay_fgt_70g_branch.conf,602,default
eval,unclear,unclear,0.91,"tagged A2-A6,A8-A10,A12-A24,B1-B24",hpe_community_5406rzl2_kb1515.cfg,24,default
eval,unclear,unclear,0.91,accept-lifetime 00:00:00 january 01 2018 infinite,iosxr_design_cst_pa3_xr752.cfg,152,default
train,unclear,unclear,0.91,! Source: https://github.com/nickrusso42518/racc (samples_hash/csr1_20230811T074823/show_running-config.txt),racc_cat8000v_iosxe179_netconf.txt,1,rule
train,unclear,unclear,0.91,<title>Firewall Disclaimer</title>,user_contrib_fg100e_fos7213.conf,7314,rule
train,unclear,unclear,0.91,set auto-auth-extension-device enable,user_contrib_fg100e_fos7213.conf,45,default
train,unclear,unclear,0.91,"edit ""eBay-ICMP""",kevinguenay_fgt_70g_branch.conf,1349,rule
eval,unclear,unclear,0.91,"edit ""yandex""",kevinguenay_fgt_70g_branch.conf,11095,rule
eval,unclear,unclear,0.91,<name>test1</name>,opnsense_acl_test_config.xml,52,rule
train,unclear,unclear,0.91,unlimited mrru=disabled one-session-per-host=no use-ipsec=no,user_contrib_crs310_ros7.rsc,493,rule
train,unclear,unclear,0.91,description CAN,canu_csm17_spine001_ipv6_vrf.cfg,209,default
eval,unclear,unclear,0.91,set allowaccess ping fgfm,kevinguenay_fgt_70g_branch.conf,135,default
train,unclear,unclear,0.91,UqOM8jN6lGA8r/L/YaaqZBk0TLKFPRIIkFh+wB991X6dtog5UMd6NbQeVB/iEwyx,kevinguenay_fgt_70g_branch.conf,9137,default
train,logging_enabled:true,logging_enabled:true,0.91,logging level eth_port_channel 4,nautobot_gc_nxos_snmp_spine01_nxos933.txt,50,rule
eval,unclear,unclear,0.91,/tool bandwidth-server,routeros_diff_verbose_export.rsc,463,default
eval,SKIP,unclear,0.91,! EtherChannel Best Practice (LACP),06-layer2-protection.txt,46,rule
train,unclear,unclear,0.91,RvrtRTGkCei5f1lFrFxRj29esXNF2dukGQB8JzS72zAiHBAI62tXVv0TzvZ86bxZ,kevinguenay_fgt_70g_branch.conf,9055,default
train,unclear,unclear,0.91,set uuid 4ddf6700-5ce5-51f0-4d5e-a5c4741c9e11,kevinguenay_fgt_70g_branch.conf,8678,default
eval,unclear,unclear,0.91,backup destination 10.0.0.6,azlocal_tor2.txt,352,default
train,unclear,unclear,0.91,set gui-prompt-auto-upgrade disable,user_contrib_fg100e_fos7213.conf,21426,default
train,unclear,unclear,0.91,z+r/yCJYSmg7hptEKj9xSTXbB1eEzhjK0rh2XuIR5zlBc/KF4iHpi2y4/0/cEahD,user_contrib_fg100e_fos7213.conf,25666,default
train,unclear,unclear,0.91,set inter-controller-mode disable,user_contrib_fg100e_fos7213.conf,293,default
train,unclear,unclear,0.91,set uuid 4de10d76-5ce5-51f0-ccde-68ca0561bcdf,kevinguenay_fgt_70g_branch.conf,8317,default
train,unclear,unclear,0.91,<wireless>,user_contrib_supergate_opn25.xml,4564,rule
eval,SKIP,unclear,0.91,</wireless>,user_contrib_supergate_opn25.xml,4568,rule
train,unclear,unclear,0.91,mX4WALA8GpmPGgj6eduwVQx4K9x+pO1vzugmqXTViW/Gx9sI+xpCMM6mOQrkPAIo,kevinguenay_fgt_70g_branch.conf,9037,default
eval,SKIP,unclear,0.91,! IMPORTANT: Change default passwords before deploying to production.,azlocal_tor1.txt,404,rule
train,unclear,unclear,0.91,set uuid fe2219c4-2c5f-51f1-137b-a9ac8630d373,kevinguenay_fgt_vm_hub.conf,9504,default
eval,unclear,unclear,0.91,"edit ""Barracuda-Barracuda.Cloud""",kevinguenay_fgt_70g_branch.conf,5630,rule
eval,unclear,unclear,0.91,protocol http,ksator_dcs_7150s64_eos4224.txt,257,rule
eval,unclear,unclear,0.91,Y50M3FcNjatmeCs63uQEId2Qep6jCN/gyYp4G0rEdY999jvzuhEb0x5GItEuoIc3,user_contrib_fg100e_fos7213.conf,25751,default
eval,unclear,unclear,0.91,topology base,racc_csr1_iosxe173_umbrella_sig.txt,255,default
train,unclear,unclear,0.91,"color: rgba(0,0,0,.5);",user_contrib_fg100e_fos7213.conf,3947,default
train,unclear,unclear,0.91,<filename>emerging-worm.rules</filename>,user_contrib_supergate_opn25.xml,2724,rule
train,unclear,unclear,0.91,CoXeTXCNQ42PesYf8p1J5EqMcEfFkAAACgwXTbd/pBQnZQCi7HdlYgm6gXAu//j/WgY9Dz,user_contrib_fg100e_fos7213.conf,31139,default
train,unclear,unclear,0.91,e2pKe64y8Cs5uEfX4PQ6cd/4b9+1EyMD/UM6J0KWDu8MH/V2HQvHyOsjb056MO6Z97CLZQ,user_contrib_fg100e_fos7213.conf,31157,default
eval,unclear,unclear,0.91,<serialspeed>115200</serialspeed>,opnsense_docs_carp_ha_backup.xml,217,rule
train,unclear,unclear,0.91,Y2F0ZSBBdXRob3JpdHkxGTAXBgNVBAMMEEZHVDcwRzVQMjUwODMyODYxIzAhBgkq,kevinguenay_fgt_70g_branch.conf,8988,default
train,unclear,unclear,0.91,"edit ""FQDN-Barracuda-Barracuda.Cloud""",kevinguenay_fgt_70g_branch.conf,6965,rule
train,unclear,unclear,0.91,"<rule uuid=""9199d874-d1ed-4513-ac46-fc77e4af9a70"">",user_contrib_supergate_opn25.xml,1746,rule
eval,unclear,unclear,0.91,"exec /usr/bin/TerminAttr -ingestgrpcurl=10.83.29.224:9910 -taillogs -ingestauth=key,IngestKey -smashexcludes=ale,flexCounter,hardware,kni,pulse,strata -ingestexclude=/Sysdb/cell/1/agent,/Sysdb/cell/2/agent",ksator_dcs_7150s64_eos4224.txt,10,default
train,unclear,unclear,0.91,hw-id 00:50:56:b6:f9:38,pc5-round3b-routere.conf,19,default
train,unclear,unclear,0.91,tn9NIMU3soqUOpcdvkTVuQVnLX1Uj/sCAG85ca6tjUH6V+JorAbSiBRiE4AhoTKU,kevinguenay_fgt_70g_branch.conf,8965,default
train,unclear,unclear,0.91,description MLAG_PEER_DC1-LEAF2B_Po3,batfish_labval_dc1_leaf2a_eos4230.txt,93,default
train,unclear,unclear,0.91,set ip-managed-by-fortiipam disable,kevinguenay_fgt_vm_hub.conf,136,default
train,unclear,unclear,0.91,set id 4278190159,kevinguenay_fgt_70g_branch.conf,7164,default
eval,unclear,unclear,0.91,set uuid cde5831e-2c4f-51f1-d14c-ae895ec399bb,kevinguenay_fgt_70g_branch.conf,8411,default
train,unclear,unclear,0.91,<disablesegmentationoffloading/>,opnsense_docs_carp_ha_backup.xml,201,rule
eval,unclear,unclear,0.91,<eventqueueSlots/>,user_contrib_supergate_opn25.xml,2972,rule
eval,SKIP,unclear,0.91,</job>,user_contrib_supergate_opn25.xml,4306,rule
train,unclear,unclear,0.91,ntp source-interface Vlan15,busterswt_spine_leaf_xk32_1_nxos9312.txt,155,default
train,unclear,unclear,0.91,set uuid 0b46c376-72e3-51ef-4b34-07a161036598,user_contrib_fg100e_fos7213.conf,32840,default
train,unclear,unclear,0.91,"edit ""5""",kevinguenay_fgt_70g_branch.conf,12014,rule
train,unclear,unclear,0.91,"edit ""*.gz""",user_contrib_fg100e_fos7213.conf,26654,rule
eval,unclear,unclear,0.91,<any/>,opnsense_acl_test_config.xml,151,rule
train,unclear,unclear,0.91,"edit ""Wetransfer-Other""",kevinguenay_fgt_70g_branch.conf,4886,rule
train,unclear,unclear,0.91,"<img src=\""%%QR_CODE_DATA_URI%%\"">",user_contrib_fg100e_fos7213.conf,10969,rule
eval,unclear,unclear,0.91,<name>netops</name>,kitchen_sink.xml,114,rule
train,unclear,unclear,0.91,set id 4278190150,kevinguenay_fgt_70g_branch.conf,7065,default
train,unclear,unclear,0.91,"! Snapshot: CSR1000v IOS-XE 17.3 `show running-config` -- EIGRP+OSPF, 22 static routes, IKEv2/IPsec SIG tunnel, SSH pubkey-chain, guestshell, NETCONF-YANG, 2 local users.",racc_csr1_iosxe173_umbrella_sig.txt,3,rule
eval,unclear,logging_enabled:true,0.91,logging snmp-trap errors,racc_csr1000v_iosxe169_bgp_ospf.txt,243,rule
train,unclear,unclear,0.91,set uuid fe217e88-2c5f-51f1-620c-caf6c8a94198,kevinguenay_fgt_vm_hub.conf,9787,default
train,unclear,unclear,0.91,snmp-server user admin network-admin auth md5 0xec9e3b98c0d43a77eba33217ce43516e priv 0xec9e3b98c0d43a77eba33217ce43516e localizedkey,batfish_nxos_evpn_l3vni_nx2.txt,32,rule
train,unclear,unclear,0.91,QcTWzHCiNILr7rm1800FucS550zJ0sPDuRgQMNVBncSh7fAPDSsXrpa/BMAFRyIz,kevinguenay_fgt_vm_hub.conf,10315,default
train,unclear,unclear,0.91,AVDBJpz/rm9mrJ4yUQrf2dcbl05BOu9ktlysd/Ab9PAsDg1EJh8lnvlhCKAhCTzb,kevinguenay_fgt_vm_hub.conf,10419,default
train,unclear,unclear,0.91,"set fortiview-timeframe ""realtime""",kevinguenay_fgt_70g_branch.conf,589,default
train,unclear,unclear,0.91,<descr>user-to-inet</descr>,user_contrib_supergate_opn25.xml,1658,rule
train,unclear,unclear,0.91,"set www address="""" disabled=no port=80",routeros_diff_verbose_export.rsc,366,default
train,unclear,unclear,0.91,match qos-group 5,azlocal_tor1.txt,93,default
train,SKIP,unclear,0.91,!Running configuration last done at: Fri Aug 12 09:37:53 2022,akarneliuk_evpn_vxlan_mcast_leaf_c1l1_nxos939.txt,8,rule
eval,unclear,unclear,0.91,gfz7aqUHBiLWAWYkqnkk1N/132/m62BhB0uu5OKqyw78r/4kL6IM/vzFTPccJI6K,kevinguenay_fgt_70g_branch.conf,9554,default
train,unclear,unclear,0.91,edit 9,kevinguenay_fgt_70g_branch.conf,561,default
eval,unclear,unclear,0.91,<descr>user-to-all</descr>,user_contrib_supergate_opn25.xml,1608,rule
train,unclear,unclear,0.91,YMGke8cbFjZyqMpwBQ8FaO5f9e2C2gZIh1MGZEDYIrASTRBuV8J93TW/IIrQT3TX,kevinguenay_fgt_70g_branch.conf,9503,default
train,unclear,unclear,0.91,edit 1321,kevinguenay_fgt_vm_hub.conf,12508,default
eval,unclear,unclear,0.91,QbhJUsxoTCjbI3WcBB1WssNL6ouwhQiHkfQZKjwwTtbIl8p8INkR2IhsE4cnDUOk,kevinguenay_fgt_vm_hub.conf,10316,default
eval,unclear,unclear,0.91,set access profile USER-AUTH authentication-order password,jnprautomate_mnha_vsrx_a_junos.set,551,rule
train,unclear,unclear,0.91,<name>$HOST</name>,user_contrib_supergate_opn25.xml,3014,rule
train,unclear,unclear,0.91,8K5OF+xTvJLPbpFbnv/JxTVFfhyIkzo84TKUuoCi4seF6vnf6eajug+GJOqh15j1,user_contrib_fg100e_fos7213.conf,25699,default
eval,unclear,unclear,0.91,"<file uuid=""d4932eba-c931-49a6-b8a9-df44646be557"">",user_contrib_supergate_opn25.xml,2778,rule
train,unclear,unclear,0.91,"edit ""Mimecast-Mimecast""",kevinguenay_fgt_70g_branch.conf,5687,rule
train,unclear,unclear,0.91,hw-id 00:50:56:b6:5d:6f,pc5-round3b-routere.conf,35,default
train,unclear,unclear,0.91,IKm+oZSpcATY7nNwhLZocBp6ysn7iaUWkjjnwhZfBBLd2r3Ker4=,kevinguenay_fgt_70g_branch.conf,9646,default
train,unclear,unclear,0.91,"edit ""Genesys-PureCloud""",kevinguenay_fgt_70g_branch.conf,5558,rule
train,unclear,unclear,0.91,set holdtime-timer 3,kevinguenay_fgt_70g_branch.conf,12265,default
train,unclear,unclear,0.91,set mapi-over-https disable,user_contrib_fg100e_fos7213.conf,31685,rule
train,unclear,unclear,0.91,set lease-time 86400,kitchen_sink.conf,171,default
train,unclear,unclear,0.91,<tunable>net.inet.ip.intr_queue_maxlen</tunable>,opnsense_docs_carp_ha_backup.xml,124,rule
train,unclear,unclear,0.91,CgeSpO/C4mNyRhA1BzuqYfwHv8wZV72Gn93Y20c2g8s4JkR+W3ceiFW/PZ6bdL7G,kevinguenay_fgt_vm_hub.conf,10337,default
eval,unclear,unclear,0.91,set tcp-portrange 123,kevinguenay_fgt_70g_branch.conf,8580,default
train,unclear,unclear,0.91,"edit ""FQDN-Cisco-AppDynamic""",kevinguenay_fgt_70g_branch.conf,6536,rule
train,unclear,unclear,0.91,set restart-mode none,user_contrib_fg100e_fos7213.conf,34515,default
train,unclear,unclear,0.91,"set 3 action=echo disabled=no prefix="""" regex="""" topics=critical",user_contrib_crs310_ros7.rsc,662,default
train,unclear,unclear,0.91,MA2FcXGMG2uJc/5adbgKYWijIjAgMAkGA1UdEwQCMAAwEwYDVR0lBAwwCgYIKwYB,kevinguenay_fgt_70g_branch.conf,9602,default
train,unclear,unclear,0.91,"<hosts uuid=""c1f44c72-07b3-4802-98a3-1a721aad0daf"">",user_contrib_supergate_opn25.xml,624,rule
train,unclear,unclear,0.91,"<hosts uuid=""a9af15f8-76c9-4458-bb6b-71476832da61"">",user_contrib_supergate_opn25.xml,654,rule
train,unclear,unclear,0.91,set connect-timeout 90,user_contrib_fg100e_fos7213.conf,22664,default
eval,unclear,unclear,0.91,MAsGCWCGSAFlAwQDAgMxADAuAhUA24bdYygwksBb92V+yJxFiJrav2kCFQDS4RX8,user_contrib_fg100e_fos7213.conf,25754,default
eval,unclear,unclear,0.91,<name>api</name>,user_contrib_supergate_opn25.xml,100,rule
train,SKIP,unclear,0.91,!Running configuration last done at: Thu Sep 28 03:36:21 2023,busterswt_spine_leaf_xk32_1_nxos9312.txt,6,rule
train,unclear,unclear,0.91,/system leds settings,routeros_diff_verbose_export.rsc,434,default
eval,unclear,unclear,0.91,A/HI41MChZxEleZsKd6OZhYsD+gnKxDUD9yct0SPjkgVIZVyqZHvy3MQBQZh5Ym0,kevinguenay_fgt_vm_hub.conf,10607,default
train,unclear,unclear,0.91,set uuid fe2217da-2c5f-51f1-3487-6c59db40340c,kevinguenay_fgt_vm_hub.conf,9468,default
eval,unclear,unclear,0.91,set uuid 4ddf13c2-5ce5-51f0-c66e-31a795e5bc3d,kevinguenay_fgt_70g_branch.conf,8464,default
train,unclear,unclear,0.91,"<file uuid=""469977f0-cba3-46b1-ae9a-a3f4c5498421"">",user_contrib_supergate_opn25.xml,2754,rule
eval,unclear,unclear,0.91,set uuid 4ddf864a-5ce5-51f0-41a3-b88b472edf0d,kevinguenay_fgt_70g_branch.conf,8761,default
train,SKIP,unclear,0.91,"! Topology:         VLT pair with TOR2, DCB enabled for RDMA/S2D storage",azlocal_tor1.txt,6,rule
train,unclear,unclear,0.91,SPhKV50dDTNdCec6+sijhOWPorm2yBnr84DZmZ9cl7xK3U0B8oQq0bfZ9pZQ0MBM,kevinguenay_fgt_70g_branch.conf,8928,default
train,unclear,unclear,0.91,MIID3DCCAsSgAwIBAgIERSGYlTANBgkqhkiG9w0BAQsFADCBnTELMAkGA1UEBhMC,user_contrib_fg100e_fos7213.conf,25655,default
train,unclear,unclear,0.91,<adv_dhcp_pt_timeout/>,opnsense_service_test_config.xml,19,rule
eval,unclear,unclear,0.91,set uuid 49981c2c-2c6b-51f1-10ac-a8202b83a41c,kevinguenay_fgt_vm_hub.conf,13378,default
train,SKIP,unclear,0.91,Hashes are bcrypt-shape but obviously fake per AGENTS.md. -->,kitchen_sink.xml,88,rule
train,unclear,unclear,0.91,"edit ""elin-number""",kevinguenay_fgt_70g_branch.conf,11981,rule
train,unclear,unclear,0.91,x+kJSSBPo71E0xTVYA0wd6p2A/5XY9REIK3DLpECJE+tFIYxC003BexUR4zFyQLU,kevinguenay_fgt_vm_hub.conf,10226,default
train,unclear,unclear,0.91,set timeout-tcp-rst 120,user_contrib_fg100e_fos7213.conf,34137,default
eval,unclear,unclear,0.91,d+p+nf89ai7FnKHVyKnnRGMOFE9hTNReZ0bzTCzDyTkHLyY/jVOjslvz0BCoc0QQ,kevinguenay_fgt_vm_hub.conf,10425,default
train,unclear,unclear,0.91,edit 421,kevinguenay_fgt_vm_hub.conf,12452,default
train,unclear,unclear,0.91,set auto-firmware-upgrade disable,kevinguenay_fgt_vm_hub.conf,8770,default
train,unclear,unclear,0.91,set id 4278190140,kevinguenay_fgt_70g_branch.conf,6955,default
train,unclear,unclear,0.91,set id 4278190083,kevinguenay_fgt_70g_branch.conf,6328,default
eval,unclear,unclear,0.91,coBs/Quo5CEc99+WO9b6KLm2NInQL2j1zLaPlRNSW0+Oc/s4QgD9XynI8OGm/j2sixc1aX,user_contrib_fg100e_fos7213.conf,31218,default
train,unclear,unclear,0.91,9eqtZxmW/vyL2dY8JyCOACKYRZiuDpfFZr4aypURkmvr7e1MpEI5q3SjDINFtgIG,kevinguenay_fgt_70g_branch.conf,8968,default
train,unclear,unclear,0.91,HSUEDDAKBggrBgEFBQcDATANBgkqhkiG9w0BAQsFAAOCAgEAhiWlahI/N+oJWt23,kevinguenay_fgt_vm_hub.conf,10540,default
train,unclear,unclear,0.91,channel width 80,batfish_cisco_interface.txt,26,default
train,unclear,unclear,0.91,kp/mElmubLeZnfZWZc7f/BnQo+vbeNrnfP+/bJEpJEAT0nuNpK6jR8+L8zbdVCh7,kevinguenay_fgt_70g_branch.conf,9119,default
eval,unclear,unclear,0.91,set id 4278190168,kevinguenay_fgt_70g_branch.conf,7263,default
train,unclear,unclear,0.91,set gui-switch-controller disable,user_contrib_fg100e_fos7213.conf,22269,default
train,unclear,unclear,0.91,<name>testg1</name>,opnsense_acl_test_config.xml,24,rule
train,unclear,unclear,0.91,EzARBgNVBAgMCkNhbGlmb3JuaWExEjAQBgNVBAcMCVN1bm55dmFsZTERMA8GA1UE,user_contrib_fg100e_fos7213.conf,25814,default
train,unclear,unclear,0.91,qcYoWtoKZb1CfC4X1bOuftx9Muc1Ox0j,kevinguenay_fgt_vm_hub.conf,10678,default
eval,unclear,unclear,0.91,U8IGZs03sbr4bhV785YYvryvJfONGZqrSg7pgLELxhvscjab2fYY4LSZ0omO9EKM,kevinguenay_fgt_vm_hub.conf,10352,default
train,unclear,unclear,0.91,set forward-time 15,user_contrib_fg100e_fos7213.conf,34080,default
eval,unclear,unclear,0.91,<p>You have tried to access a web page that is in violation of your Internet usage policy.</p>,user_contrib_fg100e_fos7213.conf,6614,rule
train,unclear,unclear,0.91,ocG1IG1hL5yYP1qDSt3FRA0ycIApRmeTyhumxFNIrgu2WXBOYh9Qz3+mdaiVogoL,kevinguenay_fgt_70g_branch.conf,9450,default
train,unclear,unclear,0.91,4s3IQsbRMPRM75bFy/5vujf4nWoi76O0OL61LTo+gsHmvbye4jWfsEfYBM9Cu2hF,kevinguenay_fgt_70g_branch.conf,9552,default
eval,unclear,unclear,0.91,"edit ""Wetransfer-FTP""",kevinguenay_fgt_70g_branch.conf,4904,rule
train,unclear,unclear,0.91,set chassis high-availability services-redundancy-group 1 managed-services ipsec,jnprautomate_mnha_vsrx_a_junos.set,56,rule
train,unclear,unclear,0.91,set uuid 4ddf2a6a-5ce5-51f0-1445-13b6b7dcd67c,kevinguenay_fgt_70g_branch.conf,8519,default
eval,unclear,unclear,0.91,BgNVHRMEAjAAMBMGA1UdJQQMMAoGCCsGAQUFBwMBMAoGCCqGSM49BAMCA0kAMEYC,user_contrib_fg100e_fos7213.conf,25823,default
train,unclear,unclear,0.92,K2VxAzoAOhq0ZqZcS5RDkz+qjFUPQ3N3YBjBN65TsKc0TpM9GgWcDKjjigDgvtJP,user_contrib_fg100e_fos7213.conf,25932,default
train,unclear,unclear,0.92,set uuid 9b1c71e4-4943-51f0-e49b-132e4dfe851b,user_contrib_fg100e_fos7213.conf,22950,default
train,SKIP,unclear,0.92,!Running configuration last done at: Fri Jun 25 03:14:08 2021,batfish_nxos_bgp_redist_d1.txt,5,rule
train,unclear,unclear,0.92,set id 4278190198,kevinguenay_fgt_70g_branch.conf,7593,default
train,unclear,unclear,0.92,set [ find default=yes ] auth-algorithms=sha1 disabled=no enc-algorithms=\,user_contrib_crs310_ros7.rsc,255,rule
train,unclear,unclear,0.92,b3BlbnNzaC1rZXktdjEAAAAACmFlczI1Ni1jdHIAAAAGYmNyeXB0AAAAGAAAABBlPP+VbU,user_contrib_fg100e_fos7213.conf,31109,default
train,unclear,unclear,0.92,set override-timeout 0,user_contrib_fg100e_fos7213.conf,28939,default
eval,unclear,unclear,0.92,set id 4278190119,kevinguenay_fgt_70g_branch.conf,6724,default
train,unclear,unclear,0.92,ETKAxaX1YwzuKXLUCMaom/tMy4bkuVxRq6hs+7/udYbv1M62o5ZwYIsNIEtnuE97,kevinguenay_fgt_70g_branch.conf,9522,default
train,unclear,unclear,0.92,zYbyw8Yhwjao9uW4Bnfaj+Zr4wgnqQX6lMXeGmKHLzR9VMy+lCyLt9no3FUcz9cU,kevinguenay_fgt_vm_hub.conf,10771,default
train,SKIP,unclear,0.92,!Running configuration last done at: Wed Aug 19 16:36:16 2020,batfish_nxos_hsrp_nxos1.txt,5,rule
train,unclear,unclear,0.92,ODKxk14bazOacBN6R4hWYJdTfBsDaZbxYWkkTb7Htkya8vsJDViH,kevinguenay_fgt_70g_branch.conf,8940,default
eval,unclear,unclear,0.92,"<file uuid=""a6ca6fc7-3f0b-4988-a55c-9a7bf5154710"">",user_contrib_supergate_opn25.xml,2738,rule
eval,unclear,unclear,0.92,"edit ""Cisco-Secure.Endpoint""",kevinguenay_fgt_70g_branch.conf,2342,rule
train,unclear,unclear,0.92,/tool bandwidth-server set enabled=no,taqavi_initial_provisioning.rsc,129,default
train,unclear,unclear,0.92,edit 36,kevinguenay_fgt_70g_branch.conf,10469,default
train,unclear,unclear,0.92,set uuid 4de1011e-5ce5-51f0-5741-6e6b215cdbb8,kevinguenay_fgt_70g_branch.conf,8265,default
train,unclear,unclear,0.92,edit 1031,kevinguenay_fgt_vm_hub.conf,12480,default
eval,unclear,unclear,0.92,"0.0.0.0 user=""""",user_contrib_crs310_ros7.rsc,672,default
train,unclear,unclear,0.92,set dh-keypair-throttle enable,user_contrib_fg100e_fos7213.conf,22039,default
train,unclear,unclear,0.92,set id 4278190099,kevinguenay_fgt_70g_branch.conf,6504,default
eval,unclear,unclear,0.92,<tag>11</tag>,user_contrib_supergate_opn25.xml,4480,rule
eval,unclear,unclear,0.92,hCLbUw6w8d8utfx8mlBFFMCg+YBpgfJ0mX0WbP3NOrx9Hkue905IJ5mC5VRWu7oZ,user_contrib_fg100e_fos7213.conf,25527,default
train,unclear,unclear,0.92,tagged 1/25-1/26,aruba_central_5memberstack_rendered.cfg,140,default
train,unclear,unclear,0.92,51ceZCuIFB0dV0R9v6VPQEfsMA8GA1UdEQQIMAaHBMCoAbEwDQYJKoZIhvcNAQEL,kevinguenay_fgt_vm_hub.conf,10347,default
train,unclear,unclear,0.92,<destination>,opnsense_acl_test_config.xml,150,rule
train,SKIP,unclear,0.92,</destination>,opnsense_acl_test_config.xml,152,rule
eval,unclear,unclear,0.92,<destination/>,user_contrib_supergate_opn25.xml,2362,rule
eval,unclear,unclear,0.92,<cfg>1</cfg>,user_contrib_supergate_opn25.xml,2146,rule
train,unclear,unclear,0.92,iJ32L1L++nzZdqCrkv34dkagxblupGtQFSFQKtuzR23Q8n9oV3Dnq7An1ntz+sdx,kevinguenay_fgt_vm_hub.conf,10305,default
train,unclear,unclear,0.92,"<file uuid=""301f3797-0be6-41d2-872e-bed66861f7d4"">",user_contrib_supergate_opn25.xml,2730,rule
train,unclear,unclear,0.92,queue 5 qos-group 5,azlocal_tor1.txt,103,default
train,unclear,unclear,0.92,description Users SVI,kitchen_sink.txt,150,default
eval,unclear,unclear,0.92,B6mBtzDXaS4xWmjLVYqT8rr/vOABifehBjgZYrgu97qrearK1jY6P3EuRR8RHKym,user_contrib_fg100e_fos7213.conf,25556,default
train,unclear,unclear,0.92,description To_BORDER02,batfish_ibgp_border01.txt,33,default
eval,unclear,unclear,0.92,set image-download enable,user_contrib_fg100e_fos7213.conf,304,default
train,unclear,unclear,0.92,CGcvV+GcqkVH5SL+tzFipddOS5FqfUWcH+ggGpNSdv3ZIdrocTpbfwz75uvWgW7S,kevinguenay_fgt_70g_branch.conf,8993,default
train,unclear,unclear,0.92,"edit ""UptimeRobot-RTMP""",kevinguenay_fgt_70g_branch.conf,5261,rule
eval,unclear,unclear,0.92,4ORzB5DIF01GRpY3fWmvm+Jn/oXAJTQyDMHtXJyLUZ9xevPaPDwrvZv5xtwPXMKR,kevinguenay_fgt_vm_hub.conf,10156,default
train,unclear,logging_enabled:true,0.92,logging snmp-trap critical,racc_csr1000v_iosxe169_bgp_ospf.txt,242,rule
train,unclear,unclear,0.92,"edit ""SurveyMonkey-SSH""",kevinguenay_fgt_70g_branch.conf,4037,rule
train,unclear,unclear,0.92,set uuid 6a80350e-72dc-51ef-ebe1-3f7e5fe7a3c2,user_contrib_fg100e_fos7213.conf,22768,default
